DATAFLOW,LAST UPDATE,freq,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:DEMO_R_D3DENS(1.0),20/08/21 23:00:00,A,PER_KM2,DE143,2018,205.4,
ESTAT:DEMO_R_D3DENS(1.0),20/08/21 23:00:00,A,PER_KM2,DE144,2018,1058.5,
ESTAT:DEMO_R_D3DENS(1.0),20/08/21 23:00:00,A,PER_KM2,DE145,2018,144.1,
ESTAT:DEMO_R_D3DENS(1.0),20/08/21 23:00:00,A,PER_KM2,DE146,2018,141.5,
ESTAT:DEMO_R_D3DENS(1.0),20/08/21 23:00:00,A,PER_KM2,DE147,2018,483.1,
ESTAT:DEMO_R_D3DENS(1.0),20/08/21 23:00:00,A,PER_KM2,DE148,2018,174.3,
ESTAT:DEMO_R_D3DENS(1.0),20/08/21 23:00:00,A,PER_KM2,DE149,2018,108.8,
ESTAT:DEMO_R_D3DENS(1.0),20/08/21 23:00:00,A,PER_KM2,DE211,2018,1047.0,
ESTAT:DEMO_R_D3DENS(1.0),20/08/21 23:00:00,A,PER_KM2,DE212,2018,4721.9,
ESTAT:DEMO_R_D3DENS(1.0),20/08/21 23:00:00,A,PER_KM2,DE213,2018,1708.2,
ESTAT:DEMO_R_D3DENS(1.0),20/08/21 23:00:00,A,PER_KM2,DE214,2018,196.8,
ESTAT:DEMO_R_D3DENS(1.0),20/08/21 23:00:00,A,PER_KM2,DE215,2018,126.7,
ESTAT:DEMO_R_D3DENS(1.0),20/08/21 23:00:00,A,PER_KM2,DE216,2018,117.0,
ESTAT:DEMO_R_D3DENS(1.0),20/08/21 23:00:00,A,PER_KM2,DE217,2018,265.2,
ESTAT:DEMO_R_D3DENS(1.0),20/08/21 23:00:00,A,PER_KM2,DE218,2018,258.6,
ESTAT:DEMO_R_D3DENS(1.0),20/08/21 23:00:00,A,PER_KM2,DE219,2018,109.0,
ESTAT:DEMO_R_D3DENS(1.0),20/08/21 23:00:00,A,PER_KM2,DE21A,2018,157.8,
ESTAT:DEMO_R_D3DENS(1.0),20/08/21 23:00:00,A,PER_KM2,DE21B,2018,224.0,
ESTAT:DEMO_R_D3DENS(1.0),20/08/21 23:00:00,A,PER_KM2,DE21C,2018,502.5,
